TIPO;CATEGORIA;TAREA;DESCRIPCIÓN;VARIANTES;OBJETIVO;ESPACIO;TIEMPO TOTAL;MATERIAL;VIDEO DRIVE ID
ACCIONES COMBINADAS;SENIOR , JUVENIL , CADETE , INFANTIL , ALEVIN , BENJAMIN;ATAQUES 1x1-4x4;Iniciamos las oleadas con un ataque 1x1, hasta llegar a un 4x4, este ultimo ataque será un centro lateral. El equipo que defiende, cuando robe, puede marcar gol en portería pequeña.;;ATAQUE RAPIDO;Doble area;20;BALONES , CHINOS , PETOS , PORTERIA PEQUEÑA;https://drive.google.com/file/d/151byY98OzcZQvmQpwqiNUHLVFYP8kSba/view?usp=drive_link
ACCIONES COMBINADAS;SENIOR , JUVENIL , CADETE , INFANTIL , ALEVIN , BENJAMIN;INTERCEPTACIÓN CON FINALIZACIONES;Jugamos un 4x4 como esta marcado en la imagen. Si los jugadores atacantes consiguen jugar con los de la zona contraria, estos pueden marcar gol. Sin hay INTERCEPTACIÓN por parte de los defensores, estos atacan portería que quieran en un 4x2.;;INTERCEPTACIÓN;Doble area;20;BALONES , CONOS , PETOS , PORTERIA REGLAMENTARIA;https://drive.google.com/file/d/1nHnZJdQvjeCg76LimGHh7eHfdSnPtVbA/view?usp=drive_link
TÉCNICA COLECTIVA;SENIOR , JUVENIL , CADETE , INFANTIL , ALEVIN , BENJAMIN;PASES EN TRIÁNGULO.;Tenemos 6 postas, se inicia con pase dentro, este tendrá que buscar el desmarque del siguiente compañero que volverá a jugar con el compañero de dentro.;;CREAR LÍNEA DE PASE;35x20;15;BALONES , CHINOS;https://drive.google.com/file/d/1TTLRVIk-ROVT6D4LhZq3qIyZuWLNVxYG/view?usp=drive_link
RONDO;SENIOR , JUVENIL , CADETE , INFANTIL , ALEVIN , BENJAMIN;RONDOS 6 ZONAS;Jugamos 3 rondos de 3x1, cuando se dan 5 pases se tiene que jugar en otro espacio. Cuando hay cambio de espacio de alguno de los 3 rondos, los 3 que estaban robando, tienen que cambiar de rondo y seguir robando.;;MANTENER;40x40;15;BALONES , CHINOS , PETOS;https://drive.google.com/file/d/1LVSk7U8Ur-W8YQ208Ec_fZZKAB_QtDQn/view?usp=drive_link
TÉCNICA COLECTIVA;CADETE , INFANTIL , ALEVIN , BENJAMIN , PREBENJAMIN;RUEDA PASES CUADRADO Y MOVIMIENTO DIAGONAL;Se juega con la secuencia de pases marcada, pero la rotación es siempre en diagonal.;;PASE;25x25;15;BALONES , CHINOS;https://drive.google.com/file/d/1g_fC8AbATFsHf_pWnrS1qc2dvAiJ3dPc/view?usp=drive_link
TÉCNICA COLECTIVA;SENIOR , JUVENIL , CADETE , INFANTIL , ALEVIN , BENJAMIN , PREBENJAMIN;RUEDA PASES ROMBO PAREDES;Los jugadores exteriores, tienen que dar una pared con cada jugador central. Los jugadores centrales, después de las paredes, juegan con el jugador que tienen en frente.;;PASE;25x25;20;BALONES , CONOS , PICAS;https://drive.google.com/file/d/1N0dZLkP2WKZsch4gw-4Vf1hlbTdfOZYg/view?usp=drive_link
ACCIONES COMBINADAS;INFANTIL , ALEVIN , BENJAMIN , PREBENJAMIN;1x1 EN VENTAJA POSICIONAL;Jugamos por equipos, un jugador sale en conducción y deja el balón parado que su rival, en carrera, lo controle y realice un ataque a portería pequeña en ventaja posicional.;;VELOCIDAD DESPLAZAMIENTO;20x30;15;BALONES , CHINOS , CONOS , PETOS , PORTERIA PEQUEÑA;https://drive.google.com/file/d/1jC3uyQl6ZfP6mcHhtx3MLmgvXLjqLdBY/view?usp=drive_link
ACCIONES COMBINADAS;JUVENIL , CADETE , INFANTIL , ALEVIN , BENJAMIN;4x4 BALON LARGO Y SEGUNDA JUGADA;Se inicia con un balón en largo para la disputa de dos jugadores. Uno de cara y el otro en carrera. A partir de ahi, si el defensor gana el duelo se juega un 3x3 en el espacio marcado. Si el ganador es el atacante, se reinicia con otro balón en largo.;;GOLPEO DE CABEZA;30x20;15;BALONES , CHINOS , PETOS , PORTERIA PEQUEÑA;https://drive.google.com/file/d/1gS0PwHKeZtakSaaQ50nVJzHKzC13JHbz/view?usp=drive_link
ACCIONES COMBINADAS;SENIOR , JUVENIL , CADETE , INFANTIL , ALEVIN;ATAQUES 2x2 - 1x1 DEFENSA ATAQUE LATERAL;Iniciamos con un 2x2 donde los defensores, si roban, no pueden atacar. Cuando se acaba la acción, los dos atacantes, tiene que defender a los jugadores de banda. Tienen que evitar que realicen un centro, no robarles el balón, aguantar y tapar. Los dos primeros defensores, atacaran el posible centro.;;DEFENSA 1x1;Doble area;20;BALONES , CONOS , PETOS , PORTERIA PEQUEÑA;https://drive.google.com/file/d/1Q4hBdkZz_D9n8xP8t6kZL8qEIlBMBs-7/view?usp=drive_link
ACCIONES COMBINADAS;SENIOR , JUVENIL , CADETE , INFANTIL , ALEVIN , BENJAMIN;ATAQUES 3x1 - 2 ZONAS;Se juega un 3x1, en la primera zona, el defnsor tendra que leer la situación y elegir que hacer, si dar un paso adelante y dejar en fuera de juego a los rivales, si replegar...;Meter dos defensores más y dar una opción más al primer defensor, temporalizar para la llegada de las ayudas;LECTURA DEFENSIVA;Doble area;20;BALONES , CHINOS , PETOS , PORTERIA PEQUEÑA;https://drive.google.com/file/d/1nfsiQRMtcxZDFNg4F79LUUqUNRHkvqOp/view?usp=drive_link
JUEGO LÚDICO;SENIOR , JUVENIL , CADETE , INFANTIL , ALEVIN , BENJAMIN;HABILIDAD POR EQUIPOS;Se inicia con un balón largo, para poder hacer gol los jugadores receptores tienen que realizar 2 controles/pases para que el 3 jugador finalice en portería pequeña.;;CONTROL;30x10;10;BALONES , CHINOS , PETOS , PORTERIA PEQUEÑA;https://drive.google.com/file/d/1QsN6qDzL2q3GdTOHxSU5APxafY1qdqT-/view?usp=drive_link
ACCIONES COMBINADAS;SENIOR , JUVENIL , CADETE , INFANTIL , ALEVIN , BENJAMIN;RUEDA DE PASES, PRECISIÓN Y 1x1;Realizamos dos ruedas de pases con oposición pasiva, donde el objetivo es que uno de los 3 jugadores finalice en portería pequeña. La secuencia de pases, será la que los jugadores decidan, donde será obligatorio hacerlo en 3 pases. Cuando finalicen en portería pequeña, se juega un 1x1 en area grande, siendo el atacante el jugador que primero finaliza en porterías pequeñas.;;DEFENSA 1x1;1/2 Campo;20;BALONES , CHINOS , PETOS , PORTERIA PEQUEÑA;https://drive.google.com/file/d/17wt03oA7o7DHQJgzjmNu8uIZ8hRCKE6f/view?usp=drive_link
ACCIONES COMBINADAS;SENIOR , JUVENIL , CADETE , INFANTIL;SALIDA BALON 4x1-2 + 2x2;Creamos una salida de balón donde incluimos al portero para dar superioridad numérica y que pueda liberar a un compañero o ser él el que da el pase que supere linea.;;SALIDA DE BALÓN;3/4 campo;20;BALONES , CHINOS , PETOS , PORTERIA PEQUEÑA;https://drive.google.com/file/d/1snIy83L6DN6MkELXzVwUaRP9KwYQO3vv/view?usp=drive_link
TÉCNICA COLECTIVA;SENIOR , JUVENIL , CADETE , INFANTIL , ALEVIN , BENJAMIN , PREBENJAMIN;TECNICA COLECTIVA x3;Dividimos al equipo en 3 grupos, cada grupo realiza una secuencia de pases diferente. Cada serie, los grupos cambian de secuencia.;;PASE;30x15;15;BALONES , CHINOS , PORTERIA PEQUEÑA;https://drive.google.com/file/d/1YOVYzIWi-EctC6mfA8Kqm4b68w3OtAX9/view?usp=drive_link
TÉCNICA COLECTIVA;CADETE , INFANTIL , ALEVIN , BENJAMIN , PREBENJAMIN;PAREDES 2 BALONES;Salimos con dos balones desde los fondos, para realizar una pared y un desmarque en ruptura.;;PAREDES;30x15;15;BALONES , CHINOS , PICAS;https://drive.google.com/file/d/1sy2CPUTzwN-ppXA0V60Y-xqmT6CW_2QI/view?usp=drive_link
JUEGO DE FÚTBOL;SENIOR , JUVENIL , CADETE , INFANTIL , ALEVIN , BENJAMIN;PARTIDO 3x3+2;Jugamos un 3x3 en el espacio marcado en azul, con dos comodines en los fondos. Para hacer gol podemos marcar de dos maneras, la primera seria si el pase de gol viene de un compañero de equipo, que podrás marca desde cualquier lugar. Si el pase viene de un comodin, el gol tiene que ser en la zona marcada en rojo.;;PROGRESAR;40x25;20;BALONES , CHINOS , PETOS , PORTERIA PEQUEÑA;https://drive.google.com/file/d/13D1O--JOFYKQwIAIDmEzolVvGs973gFU/view?usp=drive_link
ACCIONES COMBINADAS;SENIOR , JUVENIL , CADETE , INFANTIL , ALEVIN , BENJAMIN;ATAQUES POR PAREJAS;Jugamos por equipos, pero participamos por parejas. Realizamos un ataque, la pareja que marque gol se queda. Si el balón sale fuera, se irá la pareja que más tiempo lleva dentro. Si una pareja tira el balón fuera queriendo, se irán ellos.;;ATAQUE RAPIDO;Doble area;20;BALONES , CHINOS , PETOS , PORTERIA REGLAMENTARIA;https://drive.google.com/file/d/1MG-YpVJUWu4BaekijwaYbL2UFtNUBwyv/view?usp=drive_link
